"Country or Area","Year(s)","Variant","Value"
"China","2083","Constant fertility","838840.46"
"China","2083","Instant replacement","1420002.499"
"China","2083","Zero migration","963958.143"
"China","2083","Constant mortality","800878.842"
"China","2083","No change","702421.166"
"China","2083","Momentum","1300229.847"
"China","2083","Instant replacement zero migration","1450160.492"
"China","2083","Median PI","939100.122"
"China","2083","Upper 80 PI","1068714.776"
"China","2083","Lower 80 PI","797912.396"
"China","2083","Upper 95 PI","1146726.537"
"China","2083","Lower 95 PI","724984.414"
"China","2082","Medium","950338.414"
"China","2082","High","1221196.538"
"China","2082","Low","731907.615"
"China","2082","Constant fertility","852526.152"
"China","2082","Instant replacement","1421473.602"
"China","2082","Zero migration","974788.561"
"China","2082","Constant mortality","812528.017"
"China","2082","No change","716413.252"
"China","2082","Momentum","1302262.498"
"China","2082","Instant replacement zero migration","1451053.279"
"China","2082","Median PI","950338.414"
"China","2082","Upper 80 PI","1078129.381"
"China","2082","Lower 80 PI","811306.393"
"China","2082","Upper 95 PI","1154684.937"
"China","2082","Lower 95 PI","740072.645"
"China","2081","Medium","961612.985"
"China","2081","High","1226271.521"
"China","2081","Low","746881.127"
"China","2081","Constant fertility","866290.078"
"China","2081","Instant replacement","1423115.043"
"China","2081","Zero migration","985651.441"
"China","2081","Constant mortality","824330.414"
"China","2081","No change","730605.293"
"China","2081","Momentum","1304533.983"
"China","2081","Instant replacement zero migration","1452115.94"
"China","2081","Median PI","961612.985"
"China","2081","Upper 80 PI","1087799.615"
"China","2081","Lower 80 PI","825309.227"
"China","2081","Upper 95 PI","1162858.707"
"China","2081","Lower 95 PI","754685.906"
"China","2080","Medium","972906.892"
"China","2080","High","1231399.782"
"China","2080","Low","761922.905"
"China","2080","Constant fertility","880085.79"
"China","2080","Instant replacement","1424884.299"
"China","2080","Zero migration","996530.586"
"China","2080","Constant mortality","836307.646"
"China","2080","No change","744989.466"
"China","2080","Momentum","1307045.682"
"China","2080","Instant replacement zero migration","1453305.665"
"China","2080","Median PI","972906.891"
"China","2080","Upper 80 PI","1096706.397"
"China","2080","Lower 80 PI","838708.415"
"China","2080","Upper 95 PI","1170485.626"
"China","2080","Lower 95 PI","769091.421"
"China","2079","Medium","984185.394"
"China","2079","High","1236542.436"
"China","2079","Low","777002.765"
"China","2079","Constant fertility","893881.949"
"China","2079","Instant replacement","1426753.684"
"China","2079","Zero migration","1007390.838"
"China","2079","Constant mortality","848444.206"
"China","2079","No change","759553.284"
"China","2079","Momentum","1309792.863"
"China","2079","Instant replacement zero migration","1454594.664"
"China","2079","Median PI","984185.394"
"China","2079","Upper 80 PI","1105454.175"
"China","2079","Lower 80 PI","851605.127"
"China","2079","Upper 95 PI","1177049.259"
"China","2079","Lower 95 PI","783973.198"
"China","2078","Medium","995438.005"
"China","2078","High","1241688.729"
"China","2078","Low","792109.488"
"China","2078","Constant fertility","907660.866"
"China","2078","Instant replacement","1428709.319"
"China","2078","Zero migration","1018221.74"
"China","2078","Constant mortality","860731.813"
"China","2078","No change","774281.109"
"China","2078","Momentum","1312766.711"
"China","2078","Instant replacement zero migration","1455969.118"
"China","2078","Median PI","995438.005"
"China","2078","Upper 80 PI","1114663.776"
"China","2078","Lower 80 PI","864671.156"
"China","2078","Upper 95 PI","1185011.391"
"China","2078","Lower 95 PI","798714.834"
"China","2077","Medium","1006663.149"
"China","2077","High","1246842.993"
"China","2077","Low","807233.285"
"China","2077","Constant fertility","921397.695"
"China","2077","Instant replacement","1430727.727"
"China","2077","Zero migration","1029022.23"
"China","2077","Constant mortality","873177.324"
"China","2077","No change","789156.635"
"China","2077","Momentum","1315954.63"
"China","2077","Instant replacement zero migration","1457405.534"
"China","2077","Median PI","1006663.148"
"China","2077","Upper 80 PI","1124193.322"
"China","2077","Lower 80 PI","878326.694"
"China","2077","Upper 95 PI","1193347.546"
"China","2077","Lower 95 PI","813620.534"
"China","2076","Medium","1017860.468"
"China","2076","High","1252004.312"
"China","2076","Low","822369.377"
"China","2076","Constant fertility","935080.564"
"China","2076","Instant replacement","1432797.719"
"China","2076","Zero migration","1039792.078"
"China","2076","Constant mortality","885775.818"
"China","2076","No change","804163.329"
"China","2076","Momentum","1319342.586"
"China","2076","Instant replacement zero migration","1458892.84"
"China","2076","Median PI","1017860.468"
"China","2076","Upper 80 PI","1133843.211"
"China","2076","Lower 80 PI","892467.572"
"China","2076","Upper 95 PI","1201445.153"
"China","2076","Lower 95 PI","828556.382"
"China","2075","Medium","1029035.605"
"China","2075","High","1257173.65"
"China","2075","Low","837521.78"
"China","2075","Constant fertility","948713.752"
"China","2075","Instant replacement","1434922.423"
"China","2075","Zero migration","1050536.855"
"China","2075","Constant mortality","898511.855"
"China","2075","No change","819284.163"
"China","2075","Momentum","1322913.876"
"China","2075","Instant replacement zero migration","1460434.362"
"China","2075","Median PI","1029035.604"
"China","2075","Upper 80 PI","1142872.362"
"China","2075","Lower 80 PI","906079.803"
"China","2075","Upper 95 PI","1208025.65"
"China","2075","Lower 95 PI","842190.642"
"China","2074","Medium","1040194.852"
"China","2074","High","1262353.806"
"China","2074","Low","852693.498"
"China","2074","Constant fertility","962300.957"
"China","2074","Instant replacement","1437103.065"
"China","2074","Zero migration","1061262.82"
"China","2074","Constant mortality","911371.448"
"China","2074","No change","834502.363"
"China","2074","Momentum","1326651.038"
"China","2074","Instant replacement zero migration","1462031.535"
"China","2074","Median PI","1040194.852"
"China","2074","Upper 80 PI","1151247.525"
"China","2074","Lower 80 PI","918186.124"
"China","2074","Upper 95 PI","1213608.807"
"China","2074","Lower 95 PI","854900.217"
"China","2073","Medium","1051380.906"
"China","2073","High","1267597.359"
"China","2073","Low","867911.179"
"China","2073","Constant fertility","975852.323"
"China","2073","Instant replacement","1439346.692"
"China","2073","Zero migration","1072013.64"
"China","2073","Constant mortality","924372.252"
"China","2073","No change","849803.256"
"China","2073","Momentum","1330538.572"
"China","2073","Instant replacement zero migration","1463691.719"
"China","2073","Median PI","1051380.906"
"China","2073","Upper 80 PI","1160444.57"
"China","2073","Lower 80 PI","930790.998"
"China","2073","Upper 95 PI","1220188.235"
"China","2073","Lower 95 PI","868749.985"
"China","2072","Medium","1062612.89"
"China","2072","High","1272925.046"
"China","2072","Low","883186.66"
"China","2072","Constant fertility","989379.873"
"China","2072","Instant replacement","1441658.495"
"China","2072","Zero migration","1082808.697"
"China","2072","Constant mortality","937510.686"
